Semester,Session,Batch,Roll No.,Assignment,Midterm,Ori Online Participation,Online Participation,Ori Group Project,Group Project,COURSEWORK,Alternative Assessment 01,Alternative Assessment 02,FINALS,TOTAL MARKS,GRADE
2,2017/2018,2,PDS075,8.0,15.2,6.25,6.25,12.3,12.3,41.8,,,30.0,71.8,B+
2,2017/2018,2,PDS076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,F
2,2017/2018,2,PDS077,10.0,13.6,8.75,8.75,12.0,12.0,44.4,,,21.0,65.4,B
2,2017/2018,2,PDS078,9.0,11.6,8.75,8.75,11.3,11.3,40.6,,,25.0,65.6,B
2,2017/2018,2,PDS079,9.0,14.8,7.5,7.5,14.6,14.6,45.9,,,27.0,72.9,B+
1,2018/2019,3,PDS080,6.0,16.8,10.0,10.0,17.67,17.7,50.5,,,26.4,76.9,A-
1,2018/2019,3,PDS081,5.0,16.8,10.0,10.0,17.67,17.7,49.5,,,30.4,79.9,A-
1,2018/2019,3,PDS082,7.5,14.6,10.0,10.0,17.67,17.7,49.8,,,24.8,74.6,B+
1,2018/2019,3,PDS083,7.5,18.0,10.0,10.0,19.0,19.0,54.5,,,32.0,86.5,A
1,2018/2019,3,PDS084,8.0,16.8,10.0,10.0,19.0,19.0,53.8,,,32.0,85.8,A
1,2018/2019,3,PDS085,6.0,17.2,10.0,10.0,17.67,17.7,50.9,,,21.6,72.5,B+
1,2018/2019,3,PDS086,7.0,15.4,10.0,10.0,19.0,19.0,51.4,,,22.4,73.8,B+
1,2018/2019,3,PDS087,6.0,17.0,8.0,8.0,17.33,17.3,48.3,,,22.4,70.7,B+
1,2018/2019,3,PDS088,7.5,16.8,10.0,10.0,16.0,16.0,50.3,,,29.6,79.9,A-
1,2018/2019,3,PDS089,6.0,16.4,8.0,8.0,15.0,15.0,45.4,,,24.8,70.2,B+
1,2018/2019,3,PDS090,5.0,9.2,10.0,10.0,16.67,16.7,40.9,,,20.8,61.7,B-
1,2018/2019,3,PDS091,8.0,16.0,10.0,10.0,16.67,16.7,50.7,,,33.6,84.3,A
1,2018/2019,3,PDS092,7.0,18.0,10.0,10.0,17.33,17.3,52.3,,,37.6,89.9,A
1,2018/2019,3,PDS093,4.0,15.2,6.0,6.0,15.0,15.0,40.2,,,14.4,54.6,C
1,2018/2019,3,PDS094,7.0,17.6,10.0,10.0,17.33,17.3,51.9,,,36.0,87.9,A
